한국측량학회지,EA01,측량표준/시험평가기술,,
한국HCI학회논문지,EA02,생산기반기술,,
한국HCI학회-학술대회논문집,EA02,생산기반기술,,
한국금형공학회지,EA03,요소부품,,
한국정밀공학회-학술대회논문집,EA04,정밀생산기계,,
한국인쇄학회지,EA08,산업/일반기계,,
한국철도학회논문집,EA09,자동차/철도차량,,
대한조선학회논문집,EA10,,,
대한조선학회지,EA10,,,
대한조선학회 특별논문집,EA10,조선/해양시스템,,
항공우주시스템공학회지,EA12,우주발사체,,
대한원격탐사학회지,EA13,인공위성,,
대한원격탐사학회-학술대회논문집,EA13,인공위성,,
한국위성정보통신학회논문지,EA13,인공위성,,
한국콘크리트학회-학술대회논문집,EB02,세라믹재료,,
한국콘크리트학회논문집,EB02,세라믹재료,,
한국콘크리트학회지,EB02,세라믹재료,,
한국세라믹학회지,EB02,세라믹재료,,
세라미스트,EB02,세라믹재료,,
대한용접접합학회-학술대회논문집,EB04,주조/용접/접합,,
한국주조공학회지,EB04,주조/용접/접합,,
한국분말야금학회지,EB05,소성가공/분말,,
고무기술,EC06,,,
염색가공,EC08,염색가공,,
한국염색가공학회-학술대회논문집,EC08,염색가공,,
한국염색가공학회지,EC08,염색가공,,
화약/발파,EC11,,,
반도체디스플레이기술학회지,ED10,디스플레이,,
인포메이션 디스플레이,ED10,디스플레이,,
한국전자파학회지-전자파기술,ED11,무기센서 및 제어,,
한국자기학회-학술대회 개요집,ED99,,,
한국자기학회지,ED99,,,
한국인공지능학회지,EE01,정보이론,,
한국지능시스템학회논문지,EE01,정보이론,,
한국데이타베이스학회-학술대회논문집,EE01,정보이론,,
대한임베디드공학회논문지,EE02,소프트웨어,,
한국사물인터넷학회논문지,EE02,소프트웨어,,
정보보호학회지,EE03,,,
시큐리티연구,EE03,정보보호,,
정보보호학회논문지,EE03,,,
한국전자파학회논문지,EE05,위성/전파,,
한국ITS학회 논문지,EE12,,,
한국ITS학회-학술대회논문집,EE12,,,
한국재난정보학회-학술대회논문집,EE13,재난정보관리,,
한국IT서비스학회-학술대회논문집,EE99,,,
한국태양광발전학회지,EF06,신재생에너지,,
한국태양광발전학회 논문집,EF06,신재생에너지,,
신재생에너지,EF06,신재생에너지,,
한국신재생에너지학회-학술대회논문집,EF06,신재생에너지,,
한국가스학회지,EF07,가스에너지,,
한국방사성폐기물학회-학술대회논문집,EG06,핵연료주기/방사성 폐기물 관리기술,,
대한방사선기술학회지 - 방사선기술과학,EG07,방사선 기술,,
대한방사선방어학회 - 학술대회 논문집,EG07,방사선 기술,,
대한방사선치료학회지,EG07,방사선 기술,LC04,
대한방사선의약품학회지,EG07,방사선 기술,,
한국방사선학회논문지,EG07,방사선기술,,
한국환경복원기술학회지,EH04,생태계복원/관리,,
소음진동,EH05,소음/진동관리,,
한국환경보건학회지,EH09,환경보건,,
센서학회지,EH13,측정분석장비/장치,,
한국공간구조학회논문집,EI02,,,
한국지반공학회논문집,EI03,시설물 설계/해석기술,,
한국지반환경공학회 논문집,EI03,시설물 설계/해석기술,,
건설관리,EI04,건설시공/재료,,
국제초고층학회논문집,EI04,건설시공/재료,,
상하수도학회지,EI12,건설환경설비기술,,
논리연구,HB01,,,
기독교교육논총,HB06,종교일반,,
한국비블리아학회지,HB06,종교일반,,
말소리와 음성과학,HC01,언어일반,,
대한후두음성언어의학회지,HC01,언어일반,,
음성과학,HC01,언어일반,,
영어어문교육,HC05,영어,,
미술이론과 현장,HE02,미술,,
한국실내디자인학회논문집,HE06,환경디자인,,
한국가구학회지,HE06,환경디자인,,
대한정형외과스포츠의학회지,HE13,스포츠과학,,
한국운동역학회지,HE13,스포츠과학,,
디지털콘텐츠학회 논문지,HE14,콘텐츠,,
디지털콘텐츠학회지,HE14,콘텐츠,,
한국콘텐츠학회-학술대회논문집,HE14,콘텐츠,,
한국콘텐츠학회논문지,HE14,콘텐츠,,
한국콘텐츠학회지,HE14,콘텐츠,,
만화애니메이션 연구,HE14,콘텐츠,,
한국만화애니메이션학회-학술대회논문집,HE14,콘텐츠,,
한국게임학회 논문지,HE14,콘텐츠,,
건축역사연구,HE15,문화재,,
환경생물,LA05,,,
한국환경생태학회지,LA05,분류/생태/환경생물학,,
청정기술,LA08,생물공학,,
한국생물공학회소식지,LA08,생물공학,,
미생물과산업,LA09,산업바이오,,
원예과학기술지,LB02,원예특용작물과학,,
시설원예/식물공장,LB02,원예특용작물과학,,
한국응용곤충학회지,LB03,농생물학/작물보호,,
식물병연구,LB03,농생물학/작물보호,,
농약과학회지,LB04,,,
한국잡초학회지,LB04,농화학,,
한국토양비료학회지,LB05,농업환경생태,,
대한수의학회지,LB07,수의과학,,
한국임상수의학회-학술대회논문집,LB07,수의과학,,
한국임상수의학회지,LB07,수의과학,,
농촌계획,LB09,농업인프라공학,,
한국조경학회-학술대회논문집,LB11,조경학,,
한국조경학회지,LB11,조경학,,
한국전통조경학회지,LB11,조경학,,
목재공학,LB12,임산공학,,
한국펄프종이공학회-학술대회논문집,LB12,임산공학,,
펄프종이기술,LB12,임산공학,,
한국버섯학회지,LB12,임산공학,,
한국어업기술학회-학술대회논문집,LB15,어업생산/이용가공,,
한국축산식품학회지,LB16,농수축산물안전,,
식품과학과 산업,LB17,식품과학,,
식품저장과 가공산업,LB17,식품과학,,
한국식품위생안전성학회지,LB17,,,
한국식품저장유통학회지,LB17,,,
한국식품과학회지,LB17,,,
한국식품영양학회지,LB18,,,
식품산업과 영양,LB18,,,
한국식품영양과학회지,LB18,,,
한국식품조리과학회지,LB19,,,
한국조리학회지,LB19,식품조리,,
한국임상약학회지,LC01,,,
대한불안의학회지,LC02,,,
소아청소년정신의학,LC02,임상의학,,
대한치과마취과학회지,LC02,임상의학,,
동의신경정신과학회지,LC02,임상의학,,
대한견주관절학회-학술대회논문집,LC02,임상의학,,
대한관절경학회-학술대회논문집,LC02,임상의학,,
대한골관절종양학회지,LC02,임상의학,,
한국응급구조학회지,LC02,임상의학,,
수면정신생리,LC02,,,
대한임상검사과학회지,LC02,,,
대한위암학회지,LC02,,,
척추신경추나의학회지,LC02,,,
대한구순구개열학회-학술대회논문집,LC02,,,
대한임상약리학회-학술대회논문집,LC03,의약품/의약개발,,
약학회지,LC03,의약품/의약개발,,
대한관절경학회-학술대회논문집,LC04,치료/진단기기,,
대한자기공명의과학회-학술대회논문집,LC04,치료/진단기기,,
대한정형외과 초음파학회지,LC04,치료/진단기기,,
재활치료과학,LC05,기능복원/보조/복지기기,,
한방비만학회지,LC07,한의과학,,
한방안이비인후피부과학회지,LC07,한의과학,,
한방재활의학과학회지,LC07,한의과학,,
대한약침학회지,LC07,한의과학,,
대한예방한의학회지,LC07,한의과학,,
대한암한의학회지,LC07,한의과학,,
대한한방내과학회지,LC07,한의과학,,
대한한방부인과학회지,LC07,한의과학,,
대한한방소아과학회지,LC07,한의과학,,
대한한의정보학회지,LC07,한의과학,,
대한한의진단학회지,LC07,한의과학,,
대한한의학방제학회지,LC07,한의과학,,
대한한의학원전학회지,LC07,한의과학,,
대한한의학회지,LC07,한의과학,,
대한한방체열의학회지,LC07,한의과학,,
동의신경정신과학회지,LC07,한의과학,,
보건교육건강증진학회지,LC08,보건학,,
가정간호학회지,LC09,간호과학,,
대한간호학회지,LC09,,,
기본간호학회지,LC09,간호과학,,
임상간호연구,LC09,간호과학,,
성인간호학회지,LC09,간호과학,,
대한소아치과학회지,LC10,치의과학,,
대한심미치과학회지,LC10,치의과학,,
구강회복응용과학지,LC10,치의과학,,
대한치과교정학회지,LC10,치의과학,,
대한치과기공학회지,LC10,치의과학,,
대한치과보철학회지,LC10,치의과학,,
대한치주과학회-학술대회논문집,LC10,치의과학,,
대한치위생과학회지,LC10,치의과학,,
식품보건융합연구,LC11,,,
대한영양사협회학술지,LC12,영양관리,,
대한지역사회영양학회-학술대회논문집,LC12,,,
한국영양학회-학술대회논문집,LC12,,,
대한지역사회영양학회지,LC12,,,
대한임상독성학회지,LC15,독성/안전성 관리기발 기술,,
광학과기술,NB05,,,
한국광학회-학술대회논문집,NB05,광학,,
한국초전도ㆍ저온공학회논문지,NB06,응집물질물리,,
한국의학물리학회지-의학물리,NB09,복합물리,,
한국자기공명학회논문지,NC01,자기공명학,,
한국결정학회지,NC03,무기화학,,
한국태양광발전학회지,NC07,광화학,,
한국태양광발전학회 논문집,NC07,광화학,,
한국태양에너지학회 논문집,NC07,광화학,,
광물과암석,ND01,,,
암석학회지,ND01,지질과학,,
한국암석학회-학술대회논문집,ND01,지질과학,,
한국광물학회지,ND01,지질과학,,
한국지진공학회논문집,ND02,지진학,,
대기,ND04,대기과학,,
천문학논총,ND12,천문학,,
천문학회보,ND12,천문학,,
천문학회지,ND12,천문학,,
인지과학,OB01,인지과학,,
한국인지과학회-학술대회논문집,OB01,인지과학,,
항공우주정책/법학회지,OC03,과학기술정책/사회,,
연구윤리,OC04,생명/의료윤리,,
한국재난관리표준학회지,OC05,안전사회/재난관리,,
항공우주정책/법학회지,SA07,분야별 전문법,,
간호행정학회지,SB12,,,
환경정책연구,SB12,분야별/유형별 행정/정책,,
한국보건행정학회-학술대회논문집,SB12,분야별/유형별 행정/정책,,
보건행정학회지,SB12,분야별/유형별 행정/정책,,
노동경제논집,SC03,미시경제,,
자원ㆍ환경경제연구,SC06,분야별 경제,,
한국항만경제학회지,SC06,분야별 경제,,
충북경제 Issue & Trend,SC06,분야별 경제,,
기업가정신과 벤처연구,SC07,,,
벤처혁신연구,SC07,경영전략/윤리,,
벤처창업연구,SC07,경영전략/윤리,,
한국벤처창업학회-학술대회논문집,SC07,경영전략/윤리,,
중소기업융합학회논문지,SC07,경영전략/윤리,,
마케팅과학연구,SC10,마케팅,,
지식경영연구,SC11,경영정보/e-비즈니스,,
경영과학,SC12,경영과학,,
한국경영과학회지,SC12,경영과학,,
CRM연구,SC12,경영과학,,
재무관리연구,SC13,재무관리,,
무역상무연구,SC16,무역,,
한국국방경영분석학회지,SC99,기타경제/경영,,
한국지역사회생활과학회지,SD02,사회구조/문제,,
대한지역사회작업치료학회지,SD07,사회복지정책/행정,,
한국사회복지학,SD07,사회복지정책/행정,,
한국사회복지학,SD08,사회복지서비스/임상,,
지역사회간호학회지,SD08,사회복지 서비스/임상,,간호
한국사회복지학회-학술대회논문집,SD08,사회복지서비스/임상,,
한국가정관리학회지,SE01,가정자원경영,,
대한가정학회지,SE01,가정자원경영,,
한국가정관리학회-학술대회논문집,SE01,가정자원경영,,
부모자녀건강학회-학술대회논문집,SE02,가족,,
아동학회지,SE03,아동/청소년,,
초등상담연구,SE03,아동/청소년,,
패션비즈니스,SE05,의류,,
한국의류학회지,SE05,,EC09,
복식,SE05,,,
복식문화연구,SE05,,,
복식문화학회-학술대회논문집,SE05,,,
한국의류산업학회지,SE05,,,
한국주거학회논문집,SE06,주거,,
한국주거학회-학술대회논문집,SE06,주거,,
주거,SE06,주거,,
한국지역지리학회지,SF01,도시/지역개발,,
한국경제지리학회지,SF03,인문지리,,
항공산업연구,SF07,관광,,
한국관광식음료학회지-관광식음료경영연구,SF07,관광,,
교육연구논총,SH01,교육일반,,
과학교육연구지,SH06,자연과학교과교육,,
대한수학교육학회지-수학교육학연구,SH06,자연과학교과교육,,
대한지구과학교육학회지,SH06,자연과학교과교육,,
대한지구과학교육학회-학술대회논문집,SH06,자연과학교과교육,,
대한수학교육학회지-학교수학,SH06,자연과학교과교육,,
한국수학교육학회지시리즈C-초등수학교육,SH06,자연과학교과교육,,
한국수학교육학회지시리즈A-수학교육,SH06,자연과학교과교육,,
한국수학교육학회지시리즈E-수학교육논문집,SH06,자연과학교과교육,,
한국과학교육학회지,SH06,자연과학교과교육,,
한국수학교육학회지시리즈D-수학교육연구,SH06,자연과학교과교육,,
한국초등수학교육학회지,SH06,자연과학교과교육,,
한국초등과학교육학회지-초등과학교육,SH06,자연과학교과교육,,
한국수학교육학회지시리즈B-순수및응용수학,SH06,자연과학교과교육,,
한국초등수학교육학회-학술대회논문집,SH06,자연과학교과교육,,
한국수학교육학회-학술대회논문집,SH06,자연과학교과교육,,
대한공업교육학회지,SH07,실업교과교육,,
공학교육연구,SH07,실업교과교육,,
컴퓨터교육학회논문지,SH07,실업교과교육,,
한국정보교육학회-학술대회논문집,SH07,실업교과교육,,
한국실천공학교육학회논문지,SH07,실업교과교육,,
한국컴퓨터교육학회 학술대회,SH07,실업교과교육,,
한국가정과교육학회지,SH07,실업교과교육,,
실천공학교육논문지,SH07,실업교과교육,,
대한기계학회논문집 C- 기술과 교육,SH07,실업교과교육,,
한국환경교육학회지-환경교육,SH07,실업교과교육,,
정보교육학회논문지,SH07,실업교과교육,,
한국언론정보학보,SI01,커뮤니케이션 일반,,
한국멀티미디어학회지,SI02,미디어/수용자,,
한국방송？미디어공학회-학술대회논문집,SI02,미디어/수용자,,
한국멀티미디어학회논문지,SI02,미디어/수용자,,
한국멀티미디어학회-학술대회논문집,SI02,미디어/수용자,,
방송과미디어,SI02,미디어/수용자,,
한국스마트미디어학회 학회지,SI02,미디어/수용자,,
스마트미디어저널,SI02,미디어/수용자,,
한국도서관정보학회-학술대회논문집,SI04,도서관/정보/이용자,,
한국데이타베이스학회-학술대회논문집,SI05,정보조직/검색/시스템,,
한국기록관리학회지,SI07,,,
한국기록관리학회-학술대회논문집,SI07,,,
기록학연구,SI07,,,   
한국항공운항학회-학술대회논문집,EI07,항공교통기술,,
한국패류학회지,ND10,해양생명,,
대한의료공학회지,LC07,한의과학,,
전자공학회논문지SC,,,,
한국유기농업학회지,,,,
한국전산구조공학회-학술대회논문집,,,,
전기전자학회논문지,,,,
한국정보컨버전스학회논문지,,,,
동아시아식생활학회지,,,,
정보저장시스템학회논문집,,,,
항공우주기술,,,,
조명전기설비학회논문지,,,,
호남수학학술지,,,,
